"filename", "language", "Dart", "comment", "blank", "total"
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\domain\use_cases\get_home_page_products_usecase.dart", "Dart", 9, 0, 4, 13
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\domain\use_cases\query_by_category_usecase.dart", "Dart", 18, 0, 4, 22
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\domain\use_cases\query_by_name_usecase.dart", "Dart", 9, 3, 4, 16
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\cubit\products_list\products_list_cubit.dart", "Dart", 39, 0, 8, 47
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\cubit\products_list\products_list_state.dart", "Dart", 16, 0, 8, 24
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\pages\home_page.dart", "Dart", 39, 1, 4, 44
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\pages\product_details.dart", "Dart", 62, 2, 8, 72
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\widgets\product_box.dart", "Dart", 46, 0, 3, 49
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\widgets\product_boxes_resources.dart", "Dart", 81, 0, 8, 89
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\widgets\products_list.dart", "Dart", 101, 0, 17, 118
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\product\presentation\widgets\share_product.dart", "Dart", 8, 0, 3, 11
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\search\presentation\cubit\query_products_cubit.dart", "Dart", 48, 0, 8, 56
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\search\presentation\cubit\query_products_state.dart", "Dart", 14, 0, 9, 23
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\search\presentation\pages\searched_products_page.dart", "Dart", 148, 0, 18, 166
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\search\presentation\widgets\search_product_field.dart", "Dart", 77, 0, 11, 88
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\search\presentation\widgets\sort_products_dialog.dart", "Dart", 52, 0, 4, 56
"c:\fluuter_pr\house_of_electricity_store\lib\src\routing.dart", "Dart", 119, 1, 4, 124
"Total", "-", 3312, 61, 540, 3913
